892397,102613,1,0,6
892397,103920,1,0,8
494638,82877,1,0,30
494638,82877,1,1,65
494638,102613,1,0,68
892401,103920,1,0,55
892466,82877,1,0,13
892466,102732,1,0,65
892512,102613,1,0,65
892582,103920,1,0,50
892589,102613,1,0,50
494635,82877,1,0,21
494635,102193,1,0,56
526683,82877,1,0,12
526683,103631,1,0,35
127279,97193,1,0,3
494628,102392,1,0,9
146522,102409,1,0,49
146521,104318,1,0,77
127032,104320,1,0,22
127029,104318,1,0,31
127033,103623,1,0,22
127033,103623,1,0,55
127033,97193,1,0,60
145707,102199,1,0,87
145705,103633,1,1,25
145703,102381,1,0,16
144645,102202,1,0,2
144645,100267,1,0,18
144649,103623,1,0,69
144646,103918,1,1,47
125747,103918,1,1,81
125736,103918,1,1,84
144523,102695,1,0,72
144527,102695,1,0,54
144527,102470,1,0,76
144524,102412,1,0,69
144524,102612,1,0,86
144532,102695,1,0,26
123533,102614,1,0,28
123535,102614,1,0,35
144423,103664,1,0,33
494629,102612,1,0,19
144424,102474,1,1,9
144422,102474,1,0,63
123405,90388,1,0,56
494631,102474,1,0,36
494631,102474,1,0,86
123422,8646,1,0,61
494632,418,1,0,40
144291,90388,1,0,78
144309,102463,1,0,67
144300,418,1,0,89
144292,102323,1,0,87
144290,102474,1,0,8
144286,102474,1,0,41
899457,418,1,0,49
123351,8646,1,0,34
123352,418,1,0,58
123363,102474,1,0,31
123363,102428,1,0,41
123363,102474,1,0,79
123364,102474,1,0,7
123364,9108,1,0,25
123364,428,1,0,71
123371,418,1,0,15
123346,102474,1,0,
899853,103628,1,0,30
899853,9116,1,0,50
494633,102718,1,0,60
143649,102375,1,0,58
143661,50629,1,1,62
143661,50629,1,1,90
143654,9122,1,0,65
143662,50629,1,0,57
143662,50629,1,0,
143662,4441,1,0,80
143662,428,1,0,88
900553,418,1,0,14
900553,418,1,0,65
900553,9104,1,0,67
900553,26491,1,0,87
900584,103906,1,1,84
900592,50629,1,1,45
900592,50629,1,0,47
900790,9122,1,0,56
900790,9104,1,0,57
122975,9104,1,0,37
122975,4441,1,0,52
147700,428,1,0,48
147700,9121,1,0,90
122976,4441,1,0,16
122990,9104,1,0,29
122990,9104,1,0,78
122990,9119,1,0,90
122966,418,1,0,30
122966,50629,1,0,
147264,102316,1,1,63
147264,428,1,0,86
147264,104298,1,0,90
147272,9105,1,0,37
147282,24324,1,0,23
73286,50629,1,0,66
73288,418,1,0,90
147075,9104,1,0,59
147075,590,1,0,71
901186,26495,1,0,7 
494634,4441,1,0,39
71919,9105,1,0,78
71924,418,1,0,21
71924,828,1,0,79
71924,4441,1,0,82
71928,590,1,0,8
