"""242"""$"""21"""$"""Zihni Gjinali"""$"""(10/2)"""$"""0"""$"""0"""$$$"""0"""$"""102383"""
"""243"""$"""21"""$"""Loro Boriçi"""$"""(21/4)"""$"""0"""$"""0"""$$$"""0"""$"""82877"""
"""244"""$"""21"""$"""Skënder Jareçi"""$"""(5/1)"""$"""0"""$"""0"""$$$"""0"""$"""102408"""
"""245"""$"""21"""$"""Refik Resmja"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""103631"""
"""246"""$"""22"""$"""Qemal Vogli"""$"""(10/0)"""$"""0"""$"""0"""$$$"""0"""$"""104104"""
"""247"""$"""22"""$"""Muharnet Dibra"""$"""(19/0)"""$"""0"""$"""0"""$$$"""0"""$"""102327"""
"""248"""$"""22"""$"""Isuf Pelingu"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""103620"""
"""249"""$"""22"""$"""Rexhep Spahiu"""$"""(20/0)"""$"""0"""$"""0"""$$$"""0"""$"""103908"""
"""250"""$"""22"""$"""Muhamet Vila"""$"""(2/0)"""$"""0"""$"""0"""$$$"""0"""$"""104098"""
"""251"""$"""22"""$"""Xhevdet Shagiri"""$"""(12/0) """$"""0"""$"""1"""$$$"""0"""$"""103662"""
"""252"""$"""22"""$"""Sabrí Peqini"""$"""(3/0)"""$"""1"""$"""0"""$$$"""0"""$"""103622"""
"""253"""$"""22"""$"""Qamil Teliti"""$"""(13/6) """$"""0"""$"""1"""$$$"""0"""$"""103920"""
"""254"""$"""22"""$"""Aristidh Parapani"""$"""(18/1)"""$"""1"""$"""0"""$$$"""0"""$"""102732"""
"""255"""$"""22"""$"""Zihni Gjinali"""$"""(11/3)"""$"""0"""$"""0"""$$$"""0"""$"""102383"""
"""256"""$"""22"""$"""Loro Boriçi"""$"""(22/5)"""$"""0"""$"""0"""$$$"""0"""$"""82877"""
"""257"""$"""22"""$"""Skënder Jareçi"""$"""(6/1)"""$"""0"""$"""0"""$$$"""0"""$"""102408"""
"""258"""$"""22"""$"""Refik Resmja"""$"""(2/0)"""$"""0"""$"""0"""$$$"""0"""$"""103631"""
"""270"""$"""24"""$"""Dimither Qoshja"""$"""(1/0) """$"""0"""$"""1"""$$$"""0"""$"""103629"""
"""271"""$"""24"""$"""Shefget Topi"""$"""(1/0)"""$"""1"""$"""0"""$$$"""0"""$"""103925"""
"""272"""$"""24"""$"""Fathbardh Deliallisi"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""102320"""
"""273"""$"""24"""$"""Besim Fagu"""$"""(10/0) """$"""0"""$"""1"""$$$"""0"""$"""102372"""
"""274"""$"""24"""$"""Shygry Rreli"""$"""(1/0)"""$"""1"""$"""0"""$$$"""0"""$"""103649"""
"""275"""$"""24"""$"""Qamil Halluni"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""102388"""
"""276"""$"""24"""$"""Xhevdet Shagiri"""$"""(14/0) """$"""0"""$"""1"""$$$"""0"""$"""103662"""
"""277"""$"""24"""$"""Kolec Kraja"""$"""(1/1)"""$"""1"""$"""0"""$$$"""0"""$"""102473"""
"""278"""$"""24"""$"""Gani Merja"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""102607"""
"""279"""$"""24"""$"""Egerem Tallushi"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""103916"""
"""280"""$"""24"""$"""Miço: Ndini"""$"""(1/1)"""$"""0"""$"""0"""$$$"""0"""$"""102688"""
"""281"""$"""24"""$"""Envcr Shehu"""$"""(1/0) """$"""0"""$"""1"""$$$"""0"""$"""103663"""
"""282"""$"""24"""$"""Loro Boriçi"""$"""(24/6)"""$"""1"""$"""0"""$$$"""0"""$"""82877"""
"""283"""$"""24"""$"""Refik Resmja"""$"""(4/1)"""$"""0"""$"""0"""$$$"""0"""$"""103631"""
"""284"""$"""24"""$"""Simon Deda"""$"""(2/0)"""$"""0"""$"""0"""$$$"""0"""$"""102319"""
"""285"""$"""25"""$"""Sulejman Maligati"""$"""(2/0)"""$"""0"""$"""0"""$$$"""0"""$"""102597"""
"""286"""$"""25"""$"""Fathbardh Deliallisi"""$"""(2/0)"""$"""0"""$"""0"""$$$"""0"""$"""102320"""
"""287"""$"""25"""$"""Besim Fagu"""$"""(11/0)"""$"""0"""$"""0"""$$$"""0"""$"""102372"""
"""288"""$"""25"""$"""Qamil Halluni"""$"""(2/0)"""$"""0"""$"""0"""$$$"""0"""$"""102388"""
"""289"""$"""25"""$"""Miço Ndini"""$"""(2/1)"""$"""0"""$"""0"""$$$"""0"""$"""102688"""
"""290"""$"""25"""$"""Gani Merja"""$"""(2/0)"""$"""0"""$"""0"""$$$"""0"""$"""102607"""
"""291"""$"""25"""$"""Kolec Kraja"""$"""(2/2)"""$"""0"""$"""0"""$$$"""0"""$"""102473"""
"""292"""$"""25"""$"""Avdulla Duma"""$"""(1/0) """$"""0"""$"""1"""$$"""46"""$"""0"""$"""18659"""
"""293"""$"""25"""$"""Dimitraq Gjyli"""$"""(1/0)"""$"""1"""$"""0"""$"""46"""$$"""0"""$"""102385"""
"""294"""$"""25"""$"""Skënder Jareçi"""$"""(8/1)"""$"""0"""$"""0"""$$$"""0"""$"""102408"""
"""295"""$"""25"""$"""Refik Resmja"""$"""(5/1)"""$"""0"""$"""0"""$$$"""0"""$"""103631"""
"""296"""$"""25"""$"""Simon Deda"""$"""(3/0)"""$"""0"""$"""0"""$$$"""0"""$"""102319"""
"""297"""$"""26"""$"""Sulejman Maligati"""$"""(3/0)"""$"""0"""$"""0"""$$$"""0"""$"""102597"""
"""298"""$"""26"""$"""Fathbardh Deliallisi"""$"""(3/0)"""$"""0"""$"""0"""$$$"""0"""$"""102320"""
"""299"""$"""26"""$"""Miço Papadophulli"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""102725"""
"""300"""$"""26"""$"""Ali Mema"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""102601"""
"""301"""$"""26"""$"""Gani Merja"""$"""(3/0)"""$"""0"""$"""0"""$$$"""0"""$"""102607"""
"""302"""$"""26"""$"""Lin Shllaku"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""103904"""
"""303"""$"""26"""$"""Lorenc Vorfi"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""104106"""
"""304"""$"""26"""$"""Mehdi Bushati"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""102210"""
"""305"""$"""26"""$"""Robert Jashari"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""102409"""
"""306"""$"""26"""$"""Panajot Pano"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""97193"""
"""307"""$"""26"""$"""Refik Resmja"""$"""(6/1)"""$"""0"""$"""0"""$$$"""0"""$"""103631"""
"""308"""$"""27"""$"""Sulejman Maligati"""$"""(4/0)"""$"""0"""$"""0"""$$$"""0"""$"""102597"""
"""309"""$"""27"""$"""Fathbardh Deliallisi"""$"""(4/0)"""$"""0"""$"""0"""$$$"""0"""$"""102320"""
"""310"""$"""27"""$"""Gëzim Kasmi"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""102459"""
"""311"""$"""27"""$"""Ali Mema"""$"""(2/0)"""$"""0"""$"""0"""$$$"""0"""$"""102601"""
"""312"""$"""27"""$"""Skënder Halili"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""102387"""
"""313"""$"""27"""$"""Lin Shllaku"""$"""(2/0)"""$"""0"""$"""0"""$$$"""0"""$"""103904"""
"""314"""$"""27"""$"""Kπ1ec Kraja"""$"""(3/2)"""$"""0"""$"""0"""$$$"""0"""$"""102473"""
"""315"""$"""27"""$"""Panajot Pano"""$"""(2/0)"""$"""0"""$"""0"""$$$"""0"""$"""97193"""
"""316"""$"""27"""$"""Pav110 Bukoviku"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""102208"""
"""317"""$"""27"""$"""Robert Jashari"""$"""(2/0)"""$"""0"""$"""0"""$$$"""0"""$"""102409"""
"""318"""$"""27"""$"""Figiri Thoma Duro"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""102370"""
"""341"""$"""30"""$"""Mikel Janku"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""102407"""
"""342"""$"""30"""$"""Fathhardh Deliallisi"""$"""(7/0)"""$"""0"""$"""0"""$$$"""0"""$"""102320"""
"""343"""$"""30"""$"""Skënder Halili"""$"""(4/0)"""$"""0"""$"""0"""$$$"""0"""$"""102387"""
"""344"""$"""30"""$"""Fatmir Frashëri"""$"""(3/0)"""$"""0"""$"""0"""$$$"""0"""$"""102376"""
"""345"""$"""30"""$"""Ali Mema"""$"""(4/0)"""$"""0"""$"""0"""$$$"""0"""$"""102601"""
"""346"""$"""30"""$"""Lin Shllaku"""$"""(5/0)"""$"""0"""$"""0"""$$$"""0"""$"""103904"""
"""347"""$"""30"""$"""Bahri Ishka"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""102403"""
"""348"""$"""30"""$"""Mehdi Bushati"""$"""(4/0)"""$"""0"""$"""0"""$$$"""0"""$"""102210"""
