"""209"""$"""256"""$"""Mirko Kokotović"""$"""86"""$"""78932"""$"""0"""
"""209"""$"""256"""$"""Mirko Kokotović"""$"""86"""$"""78932"""$"""0"""
"""219"""$"""258"""$"""S.Rebac"""$"""17"""$"""99298"""$"""0"""
"""220"""$"""258"""$"""A.Benko"""$"""43"""$"""78794"""$"""0"""
"""221"""$"""258"""$"""S.Rebac"""$"""51"""$"""99298"""$"""0"""
"""222"""$"""259"""$"""Aljoša Asanović"""$"""29"""$"""2976"""$"""0"""
"""222"""$"""259"""$"""Aljoša Asanović"""$"""29"""$"""2976"""$"""0"""
"""223"""$"""259"""$"""Ivan Cvjetković"""$"""33"""$"""11948"""$"""0"""
"""224"""$"""260"""$"""Zlatko Kranjćar"""$"""24"""$"""25375"""$"""0"""
"""225"""$"""260"""$"""Srečko Bogdan"""$"""49"""$"""7319"""$"""0"""
"""311"""$"""308"""$"""Robert Prosinečki"""$"""30"""$"""1099"""$"""0"""
"""311"""$"""308"""$"""Robert Prosinečki"""$"""30"""$"""1099"""$"""0"""
"""312"""$"""308"""$"""Davor Šuker"""$"""77"""$"""1"""$"""0"""
"""312"""$"""308"""$"""Davor Šuker"""$"""77"""$"""1"""$"""0"""
"""328"""$"""315"""$"""Davor Šuker"""$"""46"""$"""1"""$"""0"""
"""328"""$"""315"""$"""Davor Šuker"""$"""46"""$"""1"""$"""0"""
"""346"""$"""327"""$"""Stjepan Tomas"""$"""88"""$"""1097"""$"""0"""
"""350"""$"""331"""$"""Alen Bokšić"""$"""20"""$"""1101"""$"""0"""
"""351"""$"""331"""$"""Mario Stanić"""$"""36"""$"""1102"""$"""0"""
"""351"""$"""331"""$"""Mario Stanić"""$"""36"""$"""1102"""$"""0"""
"""394"""$"""367"""$"""Niko Kovač"""$"""76"""$"""185"""$"""0"""
"""402"""$"""373"""$"""Dado Pršπ"""$"""61"""$"""9212"""$"""0"""
"""414"""$"""380"""$"""Sveinn Teitsson"""$"""16"""$"""119948"""$"""0"""
"""415"""$"""380"""$"""Reynir Póróarson"""$"""35"""$"""119990"""$"""0"""
"""424"""$"""388"""$"""komur Jánsson"""$"""37"""$"""119262"""$"""0"""
"""425"""$"""388"""$"""Rikharáur Jánsson"""$"""55"""$"""119258"""$"""0"""
"""432"""$"""395"""$"""Helgi Björgvinsson"""$"""49"""$"""118683"""$"""0"""
"""433"""$"""395"""$"""komur hóráarson"""$"""60"""$"""119992"""$"""0"""
"""434"""$"""396"""$"""Sveinn Jonsson"""$"""46"""$"""119261"""$"""0"""
"""435"""$"""396"""$"""hórólfur Beck"""$"""80"""$"""119051"""$"""0"""
"""436"""$"""397"""$"""Rikhar ur Jönsson"""$"""88"""$"""119258"""$"""0"""
"""437"""$"""398"""$"""Sveinn Teitsson"""$"""29"""$"""119948"""$"""0"""
"""438"""$"""399"""$"""Örn Steinsen"""$"""74"""$"""119919"""$"""0"""
"""439"""$"""402"""$"""Steingrímur Björnsson"""$"""88"""$"""118696"""$"""0"""
"""440"""$"""403"""$"""Gunnar Felixson"""$"""10"""$"""118856"""$"""0"""
"""441"""$"""403"""$"""Steingrimur Björnsson"""$"""16"""$"""118696"""$"""0"""
"""442"""$"""403"""$"""Gunnar Felixson"""$"""40"""$"""118856"""$"""0"""
"""443"""$"""403"""$"""hórólfur Beck"""$"""60"""$"""119051"""$"""0"""
"""453"""$"""415"""$"""Jón Jóhannsson"""$"""16"""$"""119221"""$"""0"""
"""454"""$"""415"""$"""Eilert B. Schram"""$"""47 p"""$"""119875"""$"""0"""
"""455"""$"""415"""$"""Hermann Gunnarsson"""$"""90"""$"""119035"""$"""0"""
"""456"""$"""417"""$"""Magnús Torfasen"""$"""88"""$"""119961"""$"""0"""
"""457"""$"""418"""$"""Magnús Torfason"""$"""35"""$"""119961"""$"""0"""
"""458"""$"""418"""$"""Eyleifur Hafsteinsson"""$"""49"""$"""119065"""$"""0"""
"""462"""$"""421"""$"""Hermann Gunnarsson"""$"""44"""$"""119035"""$"""0"""
"""467"""$"""426"""$"""Elmar Geirsson"""$"""11"""$"""26642"""$"""0"""
"""468"""$"""426"""$"""Eyleifur Hafsteinsson"""$"""55"""$"""119065"""$"""0"""
"""469"""$"""429"""$"""Matthias Hallgrímsson"""$"""87"""$"""119075"""$"""0"""
"""473"""$"""436"""$"""TбØS Pálsson"""$"""20"""$"""119863"""$"""0"""
"""477"""$"""441"""$"""Timas Pálsson"""$"""31"""$"""119863"""$"""0"""
"""478"""$"""441"""$"""Eyleifur Hafsteinsson"""$"""43"""$"""119065"""$"""0"""
"""480"""$"""443"""$"""Matthias Hallgrímsson"""$"""15 """$"""119075"""$"""0"""
"""481"""$"""443"""$"""Steinar Johanson"""$"""50"""$"""119225"""$"""0"""
"""482"""$"""443"""$"""Marteinn Geirsson"""$"""53"""$"""118870"""$"""0"""
"""483"""$"""443"""$"""Marteinn Geirsson"""$"""64"""$"""118870"""$"""0"""
"""484"""$"""445"""$"""Ólafur Jіlíusson"""$"""21"""$"""119266"""$"""0"""
"""486"""$"""450"""$"""Matthias Hallgrímsson"""$"""17"""$"""119075"""$"""0"""
"""487"""$"""450"""$"""Asgeir Elfasson"""$"""32"""$"""118759"""$"""0"""
"""488"""$"""450"""$"""Kristinn Björnsson"""$"""64"""$"""118693"""$"""0"""
"""495"""$"""457"""$"""Matthias Hallgrímsson"""$"""7"""$"""119075"""$"""0"""
"""496"""$"""457"""$"""Teitur hórіarson"""$"""21"""$"""119991"""$"""0"""
"""497"""$"""457"""$"""Teitur hórіarson"""$"""46"""$"""119991"""$"""0"""
"""498"""$"""457"""$"""Matthias Hallgrímsson"""$"""54"""$"""119075"""$"""0"""
"""499"""$"""457"""$"""Hörur Hilmarsson"""$"""66"""$"""85180"""$"""0"""
"""501"""$"""458"""$"""Arni Sveinsson"""$"""17"""$"""119943"""$"""0"""
"""502"""$"""459"""$"""Teitur hórδarson"""$"""12"""$"""119991"""$"""0"""
"""503"""$"""459"""$"""Jóhannes Eδvaldsson"""$"""88"""$"""22883"""$"""0"""
"""505"""$"""465"""$"""Matthias Hallgrimsson"""$"""20"""$"""119075"""$"""0"""
"""507"""$"""465"""$"""Matthias Hallgrímsson"""$"""65"""$"""119075"""$"""0"""
"""508"""$"""465"""$"""Ólafur Danívalsson"""$"""75"""$"""118710"""$"""0"""
"""521"""$"""489"""$"""Marteinn Geirsson"""$"""13"""$"""118870"""$"""0"""
"""522"""$"""489"""$"""Sigurlás horleifsson"""$"""44"""$"""119968"""$"""0"""
"""523"""$"""490"""$"""Marteinn Geirsson"""$"""22"""$"""118870"""$"""0"""
"""524"""$"""490"""$"""Pá11 Őlafsson"""$"""32"""$"""119738"""$"""0"""
"""526"""$"""490"""$"""GuδΡmunduг Steinsson"""$"""34"""$"""119920"""$"""0"""
"""533"""$"""496"""$"""Magnús Bergs"""$"""53"""$"""6206"""$"""0"""
"""539"""$"""500"""$"""Pétur Ormslev"""$"""6"""$"""6375"""$"""0"""
"""546"""$"""506"""$"""Heimir Karlsson"""$"""44"""$"""119267"""$"""0"""
"""547"""$"""506"""$"""Sigur&ur Grétarsson"""$"""60"""$"""26747"""$"""0"""
"""548"""$"""506"""$"""Erlingur Kristjánsson"""$"""65"""$"""119597"""$"""0"""
"""549"""$"""506"""$"""Siguróur Grétarsson"""$"""76 p"""$"""26747"""$"""0"""
"""550"""$"""507"""$"""Siguróur Grétarsson"""$"""8"""$"""26747"""$"""0"""
"""551"""$"""507"""$"""Erlingur Kristjánsson"""$"""57"""$"""119597"""$"""0"""
"""552"""$"""507"""$"""Siguróur Grétarsson"""$"""66"""$"""26747"""$"""0"""
"""553"""$"""507"""$"""Erlingur Kristjánsson"""$"""79"""$"""119597"""$"""0"""
"""556"""$"""514"""$"""Gunnar Gislason"""$"""21 p"""$"""26679"""$"""0"""
"""557"""$"""514"""$"""Óli 1ór Magnússon"""$"""38"""$"""119612"""$"""0"""
"""558"""$"""514"""$"""Ragnar Margeirsson"""$"""50"""$"""41584"""$"""0"""
"""560"""$"""514"""$"""Ó1i 16г Magnússon"""$"""65"""$"""119612"""$"""0"""
"""568"""$"""530"""$"""Pétur Pétursson"""$"""15"""$"""49356"""$"""0"""
"""574"""$"""536"""$"""Gudmundur Steinsson"""$"""84"""$"""119920"""$"""0"""
"""577"""$"""544"""$"""Guómundur Torfason"""$"""33 p"""$"""78581"""$"""0"""
"""578"""$"""544"""$"""Guómundur Torfason"""$"""53 p"""$"""78581"""$"""0"""
"""579"""$"""546"""$"""Guamunduг Torfason"""$"""50"""$"""78581"""$"""0"""
