4731,10.11.2001,47,40
4739,16.10.2002,31,40
4746,20.08.2003,53,40
4777,10.03.1993,42,50
4781,22.09.1993,42,21
4782,17.11.1993,42,12
4790,11.10.1995,42,14
4798,07.06.1997,5,42
4803,10.02.1999,57,42
4815,06.06.2001,42,5
4828,04.09.2004,42,3215
4881,26.04.2000,3,17
4886,24.03.2001,3,55
4888,02.06.2001,3,56
4922,02.10.1931,50,26
4931,02.08.1948,50,155
4948,25.05.1953,45,50
4958,18.12.1955,50,39
4978,01.06.1961,36,50
4986,10.10.1962,50,72
4988,02.12.1962,25,50
4989,12.12.1962,50,9
4999,19.04.1965,50,39
5004,09.10.1965,50,8
5006,21.11.1965,8,50
5042,13.01.1973,25,50
5052,13.11.1974,50,37
5096,09.09.1981,23,50
5099,22.09.1982,54,50
5105,30.03.1983,22,50
5110,16.11.1983,50,37
5113,03.03.1984,50,25
5114,11.03.1984,31,50
5121,28.03.1985,1,50
5140,12.10.1988,50,23
5143,29.03.1989,19,50
5149,11.04.1990,9,50
5169,23.09.1992,38,50
5179,23.02.1994,50,49
5183,12.10.1994,50,23
5187,29.03.1995,50,44
5190,07.06.1995,136,50
5192,18.06.1995,64,50
5195,30.08.1995,50,33
5199,15.11.1995,44,50
5202,09.04.1996,4,50
5206,11.06.1996,27,50
5216,30.04.1997,50,5
5217,12.06.1997,27,50
5221,11.10.1997,21,50
5226,10.10.1998,50,11
5240,16.08.2000,6,50
5243,11.10.2000,4,50
5246,24.03.2001,50,46
5249,02.06.2001,50,4
5252,01.09.2001,46,50
5254,06.10.2001,34,50
5259,17.04.2002,50,61
5263,13.06.2002,50,155
5266,26.06.2002,60,50
5269,07.09.2002,50,46
5271,16.10.2002,50,29
5293,21.05.2004,194,50
5328,31.08.1996,4,45
5367,07.10.2000,33,4
5386,07.09.2002,4,25
5272,20.11.2002,25,50
5388,20.11.2002,4,55
5393,11.10.2003,25,4
5395,27.01.1993,62,56
5433,27.03.1999,56,45
5441,29.03.2000,7,56
5459,07.09.2002,21,56
5464,30.04.2003,190,56
5465,07.06.2003,56,21
5484,26.10.1908,5,44
5501,10.03.1912,5,21
5521,02.09.1920,5,8
5587,28.09.1930,5,44
5595,20.03.1932,5,21
5602,12.03.1933,45,5
5604,09.04.1933,5,21
5621,16.02.1936,5,38
5626,24.05.1936,45,5
5654,23.01.1946,43,5
5677,05.03.1950,25,5
5728,31.03.1957,5,48
5733,27.10.1951,5,16
5738,26.05.1958,45,5
5748,27.03.1960,5,45
5750,24.04.1960,5,21
5775,01.12.1963,48,5
5842,01.06.1974,5,43
5855,26.03.1977,5,21
5875,06.06.1980,5,40
5893,19.06.1982,5,129
5925,08.06.1986,5,160
5931,10.09.1986,5,22
5968,27.02.1991,5,31
5984,06.10.1993,5,80
6035,30.03.1999,5,68
6080,29.03.2003,27,5
6086,11.10.2003,5,13
6704,30.11.1995,1,6
6705,24.04.1996,6,1
6707,08.10.1996,6,27
6709,10.11.1996,47,6
6722,14.05.1998,58,6
6732,04.09.1999,6,43
6734,05.10.1999,43,6
6739,16.08.2000,6,50
6740,02.09.2000,6,48
6741,11.10.2000,24,6
6744,28.03.2001,29,6
6750,27.03.2002,6,33
6752,21.08.2002,6,26
6753,07.09.2002,6,40
6755,16.10.2002,36,6
6757,29.03.2003,6,31
6777,15.06.1930,7,26
6779,12.10.1930,7,40
6788,20.03.1932,25,7
6799,07.06.1933,26,7
6841,29.08.1948,7,8
6864,23.01.1955,171,7
6876,05.12.1956,7,52
6943,23.02.1965,19,7
6949,27.10.1965,5,7
6954,14.06.1966,25,7
6959,13.11.1966,7,36
6964,29.06.1967,36,7
6971,06.04.1968,7,25
6973,20.04.1968,25,7
6976,09.10.1968,50,7
6986,24.05.1969,25,7
7002,11.06.1970,7,95
7003,15.11.1970,7,36
7007,05.05.1971,7,11138
7009,09.06.1971,36,7
7018,16.04.1972,7,38
7022,21.06.1972,7,25
7028,04.02.1973,159,7
7051,19.06.1974,7,66
7053,25.09.1974,7,40
7057,29.12.1974,25,7
7067,21.12.1975,32,7
7070,01.02.1976,162,7
7073,05.05.1976,7,2199
7101,20.09.1978,25,7
7124,23.05.1980,36,7
7137,29.04.1981,7,36
7141,09.09.1981,40,7
7142,23.09.1981,25,7
7147,16.12.1981,7,39
7178,04.02.1984,95,7
7204,19.02.1986,95,7
7207,30.04.1986,7,2199
7208,31.05.1986,7,25
7209,05.06.1986,7,184
7212,10.09.1986,43,7
7235,24.12.1988,191,7
7241,20.09.1989,25,7
7245,12.09.1990,45,7
7252,01.05.1991,7,45
7256,29.05.1991,60,7
7260,25.09.1991,7,25
7267,28.04.1992,45,7
7270,06.05.1923,8,9
7286,18.02.1993,191,7
7288,20.02.1993,191,7
7303,03.07.1926,8,44
7308,03.06.1994,7,53
7319,18.09.1927,8,37
7322,13.07.1994,25,7
7359,02.06.1996,7,191
7388,10.09.1997,7,41
7423,23.09.1934,37,8
7427,19.05.1999,46,7
7434,18.08.1999,53,7
7451,15.05.1937,8,43
7452,26.04.2000,7,53
7467,28.01.2001,134,7
7476,25.04.2001,36,7
7481,28.08.1938,26,8
7523,10.09.2003,2,7
7573,13.10.1957,37,8
7587,10.05.1959,8,22
7637,19.10.1966,26,8
7665,25.10.1970,8,38
7667,16.05.1971,8,40
7702,24.09.1975,8,45
7773,03.03.1982,60,8
7811,10.08.1986,194,8
7840,04.04.1990,8,68
7856,05.06.1991,23,8
7863,04.01.1992,68,8
7889,08.05.1995,46,49
7917,24.08.1997,46,49
7920,11.10.1997,49,46
7921,03.12.1997,49,109
7923,17.12.1997,191,49
7930,27.05.1998,184,49
7941,09.06.1999,49,43
7991,27.11.1960,24,57
8005,27.11.1960,24,57
8026,03.02.1971,57,35
8027,21.04.1971,35,57
8029,07.06.1971,52,57
8031,29.03.1972,39,57
8052,30.01.1977,57,7
8054,16.11.1977,39,57
8072,05.12.1981,16,57
8077,22.12.1982,19,57
8093,07.05.1985,37,57
8115,31.10.1990,54,57
8119,03.04.1991,57,54
8121,29.05.1991,52,57
8126,25.03.1992,57,19
8131,14.10.1992,57,55
8134,22.12.1992,57,17
8146,08.10.1994,3,57
8148,29.11.1994,24,57
8149,17.12.1994,33,57
8152,15.02.1995,57,13
8153,08.03.1995,57,44
8158,11.10.1995,57,33
8177,19.08.1997,19,57
8183,05.09.1998,57,48
8188,10.02.1999,57,42
8194,10.10.1999,37,57
8195,02.02.2000,57,30
8204,26.02.2001,57,30
8205,28.02.2001,57,53
8257,06.10.1918,9,36
8266,10.10.1920,44,9
8273,10.09.1922,36,9
8435,04.11.1956,9,21
8446,15.05.1958,9,142
8482,11.09.1962,9,142
8543,15.01.1969,148,9
8579,07.06.1972,9,15
8600,10.03.1974,9,9
8635,24.05.1978,9,22
8670,20.05.1982,37,9
8702,12.69.1984,9,37
8744,11.06.1988,48,9
8805,03.06.1992,9,51
8854,07.03.1891,12,55
8868,13.03.1893,12,55
8874,12.03.1894,55,12
8894,14.08.1996,44,9
8909,20.08.1997,6,9
8938,05.09.1998,56,9
8941,01.04.1905,12,43
8946,07.04.1906,43,12
8951,05.06.1999,9,56
8952,06.04.1907,12,43
8957,04.04.1908,43,12
9023,26.05.2002,9,115
9040,03.03.1924,12,55
9048,02.04.2003,9,6
9062,11.10.2003,6,9
9326,24.05.1967,12,48
9338,06.11.1968,40,12
9420,30.03.1977,12,31
9510,01.07.1927,44,13
9512,10.08.1927,13,15
9530,25.07.1929,13,15
9536,27.08.1929,15,13
9540,27.06.1930,13,28
9582,11.06.1933,44,13
9595,29.06.1934,30,13
9601,12.06.1935,28,13
9661,04.08.1939,15,13
9680,07.04.1993,47,13
9682,14.04.1993,25,13
9692,04.07.1993,13,30
9711,07.03.1991,12,22
9714,30.07.1994,28,13
9722,26.10.1994,13,15
9737,29.04.1992,51,12
9752,16.02.1996,13,4
9756,24.02.1996,13,14
9762,07.07.1996,13,28
9781,01.03.1997,13,4
9789,04.06.1997,13,4
9803,20.08.1997,13,37
9808,27.11.1997,180,13
9826,23.09.1998,13,68
9828,10.10.1998,43,13
9861,09.10.1999,13,6
9866,22.06.1998,40,12
9878,04.06.2000,13,56
9904,06.06.2001,13,22
9965,15.11.2003,1,13
10034,19.08.1998,6,14
10050,07.11.2000,45,14
10056,15.08.2001,26,14
10098,05.07.1925,13,15
10099,10.07.1925,15,37
10102,27.09.1925,9,15
10103,06.06.1926,15,36
10114,12.08.1928,15,13
10138,17.08.1932,13,15
10163,27.09.1936,15,44
10172,04.07.1938,15,44
10176,09.06.1939,44,15
10178,20.07.1939,15,25
10189,26.08.1945,44,15
10227,04.08.1952,15,155
10237,25.05.1954,15,43
10256,27.07.1957,52,15
10279,30.10.1960,10,15
10280,16.06.1961,15,7
10286,19.06.1962,15,44
10313,18.09.1966,15,9
10316,10.05.1967,15,19
10317,24.05.1967,15,21
10323,24.09.1967,37,15
10330,11.09.1968,15,44
10341,15.10.1969,48,15
10352,25.08.1971,15,36
10354,22.09.1971,15,40
10355,13.10.1971,55,15
10366,06.06.1973,15,10
10378,15.05.1975,15,36
10379,05.06.1975,15,25
10382,03.09.1975,21,15
10384,19.05.1976,15,45
10422,28.06.1978,44,15
10429,09.02.1979,152,15
10432,04.07.1979,15,52
10456,13.05.1981,7,15
10458,17.06.1981,37,15
10470,08.09.1982,15,38
10471,22.09.1982,15,39
10489,27.05.1984,15,35
10497,23.01.1985,48,15
10503,22.05.1985,15,12
10504,06.06.1985,15,40
10518,01.04.1987,55,15
10535,08.03.1908,45,16
