"98"$"141"$"Kohler"$"57"$"0"$"0"
"99"$"141"$"Kohler"$$"0"$"0"
"1456"$"1850"$"Mieczyslaw Ratsch"$"90"$"0"$"0"
"1472"$"1856"$"Waclaw Kuclıar"$"12"$"0"$"0"
"1473"$"1856"$"Waclaw Kuclıar"$"78"$"0"$"0"
"1476"$"1857"$"Wacław Kuclıar"$"70"$"0"$"0"
"1496"$"1865"$"Mieczysław Baleer"$"4"$"0"$"0"
"1497"$"1865"$"Mieczysław Baleer"$"12"$"0"$"0"
"1498"$"1865"$"Henryk Martena"$"22"$"0"$"0"
"1501"$"1865"$"Mieczysław Baleer"$"51"$"0"$"0"
"1538"$"1882"$"Józef Śmoczek"$"47"$"0"$"0"
"1586"$"1904"$"Józef Korbas"$"28"$"0"$"0"
"1672"$"1962"$"Gerard Ćieślik"$"43"$"0"$"0"
"1673"$"1962"$"Gerard Ćieślik"$"50"$"0"$"0"
"1684"$"1969"$"Bé1a Kárpáti"$"85 "$"0"$"0"
"1713"$"1981"$"Kiril Manolov"$"31 "$"0"$"0"
"1825"$"2042"$"Andrzej farosik"$"21"$"0"$"0"
"1826"$"2042"$"Andrzej farosik"$"55"$"0"$"0"
"1834"$"2047"$"Włodziniierz Lubański"$"9"$"0"$"0"
"1835"$"2047"$"Włodziniierz Lubański"$"20"$"0"$"0"
"1836"$"2047"$"Włodziniierz Lubański"$"36"$"0"$"0"
"1913"$"2081"$"Wlodzimierz Lubaiíski"$"17"$"0"$"0"
"1940"$"2098"$"Aiidrzej Szarmach"$"38"$"0"$"0"
"1953"$"2103"$"Andrzej Szarıııach"$"38"$"0"$"0"
"2058"$"2158"$"Stefan 11Tajewski"$"81"$"0"$"0"
"2122"$"2194"$"Tetsuo Sugamata"$"83 "$"0"$"0"
"2126"$"2197"$"David OLeary"$"38 "$"0"$"0"
"2143"$"2206"$"Zbigniew Bóniek"$"61"$"0"$"0"
"2145"$"2206"$"Wlodzimierz Ciołek"$"76"$"0"$"0"
"2160"$"2214"$"Stefan 1vIajewski"$"2"$"0"$"0"
"2189"$"2240"$"Wlodzimierz Smolarek"$"25"$"0"$"0"
"2357"$"2376"$"Tomasz Śokolowski"$"18"$"0"$"0"
"2359"$"2377"$"Radosław Kalużny"$"62"$"0"$"0"
"2389"$"2396"$"Tomaszwan"$"48"$"0"$"0"
"2412"$"2417"$"Radoslaw Kałużny"$"55"$"0"$"0"
"2432"$"2427"$"Hermann Hreióarsson"$"17 "$"0"$"0"
"2433"$"2428"$"Paweł Kryszalowicz"$"45"$"0"$"0"
"2441"$"2433"$"Radoslaw Kałużny"$"11"$"0"$"0"
"2494"$"2464"$"Michalis Kapsis"$"17 "$"0"$"0"
"2526"$"2488"$"Valdeiiiar"$"63"$"0"$"0"
"2607"$"2547"$"José Águas"$"59"$"0"$"0"
"2614"$"2554"$"José Águas"$"83"$"0"$"0"
"2618"$"2557"$"José Águas"$"31"$"0"$"0"
"2621"$"2557"$"José Águas"$"89"$"0"$"0"
"2623"$"2558"$"Ali Beratlýgil"$"47 "$"0"$"0"
"2628"$"2561"$"Vasηues"$"64"$"0"$"0"
"2645"$"2576"$"Mataten"$"77"$"0"$"0"
"2649"$"2579"$"Cavérıı"$"29"$"0"$"0"
"2670"$"2594"$"Eiisébio"$"53"$"0"$"0"
"2675"$"2599"$"Eıısébiπ"$"21"$"0"$"0"
"2696"$"2612"$"Ivan Vutzov"$"7 "$"0"$"0"
"2698"$"2612"$"Toıтes"$"82"$"0"$"0"
"2715"$"2621"$"Toıres"$"29"$"0"$"0"
"2726"$"2636"$"Patrick Stanton"$"25 "$"0"$"0"
"2738"$"2640"$"Jordào"$"83"$"0"$"0"
"2762"$"2659"$"Marinlıo"$"64"$"0"$"0"
"2765"$"2663"$"Ňené"$"7"$"0"$"0"
"2767"$"2666"$"Fragnito"$"82"$"0"$"0"
"2818"$"2711"$"Jukka Ikälainen"$"46 "$"0"$"0"
"2833"$"2725"$"Gores"$"13"$"0"$"0"
"2834"$"2725"$"Gores"$"73"$"0"$"0"
"2850"$"2743"$"Gores"$"34"$"0"$"0"
"2869"$"2760"$"Rui Aguas"$"57"$"0"$"0"
"3060"$"2875"$"Romeo"$"54"$"0"$"0"
"3093"$"2893"$"Pasıleta"$"13"$"0"$"0"
"3128"$"2912"$"José Manuel Martins"$"81"$"0"$"0"
"3129"$"2913"$"José Manuel Martins"$"7"$"0"$"0"
"3131"$"2913"$"José Manuel Martins"$"49"$"0"$"0"
"3136"$"2918"$"Vitor Silva"$"53"$"0"$"0"
"3138"$"2919"$"Aniiando Martins"$"20"$"0"$"0"
"3142"$"2920"$"Valdeiiiar"$"63"$"0"$"0"
"3151"$"2931"$"Aiinando Martins"$"18"$"0"$"0"
"3155"$"2932"$"Vaiadas"$"43"$"0"$"0"
"3166"$"2940"$"Vaiadas"$"78"$"0"$"0"
"3167"$"2941"$"Espírito Santo"$"11"$"0"$"0"
"3170"$"2941"$"Joao Cruz"$"75"$"0"$"0"
"3187"$"2954"$"Araújo (39). Peyroteo"$"70"$"0"$"0"
"3195"$"2957"$"Travaços"$"60"$"0"$"0"
"3196"$"2957"$"Travaços"$"88"$"0"$"0"
"3206"$"2966"$"Mota"$"65"$"0"$"0"
"3209"$"2969"$"Travaços"$"52"$"0"$"0"
"3214"$"2971"$"Travaços"$"9"$"0"$"0"
"3216"$"2972"$"Jesus Coiтeia"$"85"$"0"$"0"
"3221"$"2977"$"Travaços"$"31"$"0"$"0"
"3223"$"2979"$"José Águas"$"59"$"0"$"0"
"3225"$"2980"$"José Aguas"$"23"$"0"$"0"
"3227"$"2983"$"Travaços"$"53"$"0"$"0"
"3228"$"2986"$"José Aguas"$"24"$"0"$"0"
"3230"$"2986"$"José Águas"$"83"$"0"$"0"
"3231"$"2987"$"José Aguas"$"32"$"0"$"0"
"3232"$"2987"$"José Aguas"$"79"$"0"$"0"
"3234"$"2989"$"José Águas"$"31"$"0"$"0"
"3237"$"2989"$"José Águas"$"89"$"0"$"0"
"3239"$"2990"$"Ali Beratlýgil"$"47 "$"0"$"0"
"3243"$"2993"$"José Aguas"$"43"$"0"$"0"
"3244"$"2993"$"Vasηues"$"64"$"0"$"0"
"3251"$"3003"$"Heıııâni"$"10"$"0"$"0"
"3261"$"3008"$"Mataten"$"77"$"0"$"0"
"3265"$"3011"$"Cavérıı"$"29"$"0"$"0"
"3266"$"3012"$"José Aguas"$"39"$"0"$"0"
"3272"$"3013"$"José Aguas"$"59"$"0"$"0"
"3286"$"3026"$"Eiisébio"$"53"$"0"$"0"
"3287"$"3028"$"Peres"$"42"$"0"$"0"
"3291"$"3031"$"Eıısébiπ"$"21"$"0"$"0"
"3301"$"3039"$"Toıтes"$"72"$"0"$"0"
"3308"$"3042"$"Toітes"$"1"$"0"$"0"
"3312"$"3044"$"Ivan Vutzov"$"7 "$"0"$"0"
"3314"$"3044"$"Toıтes"$"82"$"0"$"0"
"3331"$"3053"$"Toıres"$"29"$"0"$"0"
"3333"$"3057"$"Jacinto"$"21"$"0"$"0"
"3334"$"3057"$"Jacinto JoSo"$"33"$"0"$"0"
