"""345""","""24""","""107""","""15.08.2001""",,"""Lansdowne Road,Гublin; ""","""Andreas Sehluchter""","""Switzerland""","""27000""","""IRELAND""","""CRΠATIA	""","""2""","""2""","""1""","""0""","""Mirko Jozie""","""6""","""CRO""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""350""","""24""","""112""","""13.11.2001""",,"""Gwangiu; ""","""Kazuhiko Matsumura""","""Japan""","""42965""","""SOUТН KOREA""","""CROATIA	""","""1""","""1""","""1""","""0""","""tvorko Jπzić""","""11""","""CRO""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""353""","""24""","""115""","""17.04.2002""",,"""Maksinıir,Zagreb; ""","""Stefan Messner""","""Austria""","""3000""","""CROATIA""","""BOSNIA	""","""2""","""0""","""1""","""0""","""Mirko Jozić""","""14""","""CRO""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""356""","""24""","""118""","""08.06.2002""","""Ь	17`h.WC.I` Round.""","""Kashima Stadium,Ibaraki (Japan): ""","""Graham Poll""","""England""",,"""ITALY""","""ĆROATIA	""","""1""","""2""","""0""","""0""","""Mirko Jozić""","""17""","""CRO""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""472""","""32""","""99""","""20.07.1977""",,"""Laugardalsvöllur, Reykjavík, ""","""William Anderson""","""Scotland""","""8636""","""ICELAŇD""","""SWEDEN	""","""0""","""1""","""0""","""0""","""Anthony Knapp""","""23""","""1SL""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""490""","""33""","""117""","""03.07.1980""",,"""Húsavíkurvöllur, Húsavík, ""","""Arnpór Óskarsson""","""Iceland""","""500""","""GREENLAND""","""ICELAND	""","""1""","""4""","""0""","""4""","""GuδΡni Kjartansson""","""4""","""1SL""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""520""","""35""","""147""","""03.08.1984""",,"""Fluglaflördur""",,,,"""ICELAND""","""GREENLAND	""","""1""","""0""","""1""","""0""","""Anthony Knapp""","""29""","""iSL""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""579""","""39""","""206""","""01.05.1991""",,"""Ninian Park, Ćardif, ""","""Andrew Ritchie""","""Northern Ireland""","""3656""","""WALEŚ""","""ICELAND	""","""1""","""0""","""1""","""0""","""Bo Johansson""","""10""","""ISL""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""589""","""40""","""216""","""02.03.1992""",,"""Dubai, """,,,"""500""","""UNITED ARAB EMMIRATES""","""ICELAND	""","""0""","""1""","""0""","""0""","""Asgeir Eliasson""","""6""","""ISL""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""608""","""41""","""235""","""30.08.1994""",,"""Laugardalsvőllur, Reykjavik, """,,,"""519""","""ICELAND""","""UNITED ARAB EМIRATES	""","""1""","""0""","""0""","""0""","""Asgeir Elíasson""","""25""","""ISL""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""635""","""43""","""262""","""27.07.1997""",,"""Höfn, ""","""Milan Mitrović""","""Slovenia""","""700""","""ICELANЛ""","""FAROE ISLANDS	""","""1""","""0""","""0""","""0""","""Guójón Pórdarson""","""2""","""ISL""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""715""","""50""","""16""","""16.06.1927""",,"""Kadriorg, Tallinn, ""","""G. Sund""","""Sweden""","""4000""","""ESTONIA""","""LATVI""","""4""","""1""","""3""","""1""",,"""0""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""727""","""51""","""28""","""16.08.1929""","""Baltic Cup ""","""LЅВ, Riga, ""","""DrPcco J. Bauwens""","""Germany""","""2000""","""LATVIA""","""ЕЅТОNІЛ	""","""2""","""2""","""1""","""2""",,"""0""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""729""","""51""","""30""","""18.09.1929""",,"""Kalev, TaHinn, ""","""КuЫbегg""","""Finland""","""4000""","""ЕЅТОNІА""","""LATTlA	""","""4""","""1""","""2""","""0""",,"""0""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""730""","""51""","""31""","""27.06.1930""",,"""Kadriorg, Tallinri, ""","""Kuhlberg""","""Finland""","""4000""","""ЕЅГОNІА""","""LATTiA	""","""1""","""1""","""0""","""1""",,"""0""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""732""","""51""","""33""","""04.08.1930""",,"""Јкѕ, Riga, ""","""Georg Muntau""","""Germany""","""3000""","""LATVTA""","""FINLAND	""","""3""","""0""",,,,"""0""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""736""","""51""","""37""","""28.05.1931""",,"""LsB, Riga, ""","""Lustgarten""","""Poland""","""3000""","""LАТVIA""","""ЕЅТОNІА	""","""0""","""1""","""0""","""0""",,"""0""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""737""","""51""","""38""","""30.06.1931""",,"""LS8, Riga, ""","""Heinrich Paal""","""Estonia""","""4000""","""LATVTA""","""LIThUANIA	""","""5""","""2""","""2""","""2""",,"""0""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""739""","""51""","""40""","""26.07.1931""",,"""Arosvalien, Vtsteras, ""","""Johansson""","""Norway""","""7000""","""SWEDEN""","""LAТVIA	""","""6""","""0""","""5""","""0""",,"""0""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""741""","""51""","""42""","""31.08.1931""","""41/Baltic Cup ""","""Kadnorg, Tallinn, ""","""О. Wenzel""","""Gennany""","""2000""","""LITHUANIA""","""LAW/A	""","""0""","""1""",,,,"""0""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""742""","""51""","""43""","""01.09.1931""","""4d""""Baltic Cup ""","""Kadnorg, ТаЛпn, ""","""д. Wenzel""","""Germany""","""6500""","""ЕЅТОNіА""","""LAT%IA	""","""3""","""1""","""1""","""1""",,"""0""","""LEI""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
