"100"$"141"$"Igli Tare"$"80"$"4441"$"0"
"101"$"141"$"Rudi Vata"$"88"$"428"$"0"
"102"$"142"$"Altin Rraklli"$"14"$"418"$"0"
"103"$"142"$"Altin Rraklli"$"65"$"418"$"0"
"104"$"142"$"Alban Bushi"$"67"$"9104"$"0"
"105"$"142"$"Mahir Haliti"$"87"$"26491"$"0"
"106"$"143"$"llir Shulku"$"84p"$"103906"$"0"
"107"$"145"$"Bledar Kola"$"45p"$"50629"$"0"
"108"$"145"$"Bledar Kola"$"47"$"50629"$"0"
"109"$"146"$"Altin Haxhi"$"56"$"9122"$"0"
"110"$"146"$"Alban Bushi"$"57"$"9104"$"0"
"111"$"148"$"Alban Bushi"$"37"$"9104"$"0"
"112"$"148"$"Igli Tare"$"52"$"4441"$"0"
"113"$"150"$"Rudi Vata"$"48"$"428"$"0"
"114"$"150"$"Orion Bogdani"$"90"$"9121"$"0"
"115"$"152"$"Igli Tare"$"16"$"4441"$"0"
"116"$"155"$"Albalt Sushi"$"29"$"9104"$"0"
"117"$"155"$"Albalt Sushi"$"78"$"9104"$"0"
"118"$"155"$"Devi Muka"$"90"$"9119"$"0"
"119"$"157"$"Altin Rraklli"$"30"$"418"$"0"
"120"$"157"$"Sledar Lola"$$"50629"$"0"
"121"$"158"$"Edınond Dalipi"$"63p"$"102316"$"0"
"122"$"158"$"Rudi Vata"$"86"$"428"$"0"
"123"$"158"$"Roland Zajıni"$"90"$"104298"$"0"
"124"$"159"$"Edvin Murati"$"37"$"9105"$"0"
"125"$"160"$"Vioresiıı Sinaııi"$"23"$"24324"$"0"
"126"$"164"$"Alban Bushi"$"50"$"9104"$"0"
"127"$"164"$"Erviπ Еakaj"$"90"$"6154"$"0"
"128"$"165"$"Rudi Vata"$"44"$"428"$"0"
"129"$"165"$"Erion Bogdani"$"67"$"9121"$"0"
"130"$"165"$"Erion Bogdani"$"90"$"9121"$"0"
"131"$"166"$"Blcdar Kola"$"66"$"50629"$"0"
"132"$"167"$"Aitin Rraklli"$"90"$"418"$"0"
"133"$"168"$"Alban Btıshi"$"59"$"9104"$"0"
"134"$"168"$"Ervin Skala"$"71"$"590"$"0"
"135"$"174"$"lndrit Fortuzi"$"7 "$"26495"$"0"
"136"$"178"$"Igli Tare"$"39"$"4441"$"0"
"137"$"180"$"Edvin Murati"$"78"$"9105"$"0"
"138"$"182"$"Alban Bushi"$"16"$"9104"$"0"
"139"$"182"$"Florian Myrtaj"$"21"$"9103"$"0"
"140"$"182"$"Florian Myrtaj"$"38"$"9103"$"0"
"141"$"182"$"Mehinet Dragusha"$"53"$"2217"$"0"
"142"$"182"$"Luan Pinari"$"86"$"26505"$"0"
"143"$"183"$"Altin Rraklli"$"21"$"418"$"0"
"144"$"183"$"Akin Lala"$"79"$"828"$"0"
"145"$"183"$"Igli Tare"$"82"$"4441"$"0"
"146"$"186"$"Ervin Skela"$"8"$"590"$"0"
"147"$"187"$"Altin Lala"$"23"$"828"$"0"
"148"$"187"$"Ervin Skela"$"85p"$"590"$"0"
"149"$"190"$"Resnik Hasi"$"51"$"8735"$"0"
"150"$"190"$"igli Tare"$"53"$"4441"$"0"
"151"$"190"$"Alban Bushi"$"80"$"9104"$"0"
"152"$"191"$"Ardian Aliaj"$"13"$"9107"$"0"
"153"$"191"$"Ardian Aliaj"$"59"$"9107"$"0"
"154"$"191"$"Igli Tare"$"43"$"4441"$"0"
"155"$"192"$"Ardian Aliaj"$"26"$"9107"$"0"
"156"$"192"$"Alban Bashi"$"81"$"9104"$"0"
"157"$"193"$"Agusti Pol Pére"$"61"$"105225"$"0"
"158"$"194"$"Ildefons Lima Sola"$"67"$"8426"$"0"
"159"$"195"$"Antonio Lima Sπla"$"63"$"8407"$"0"
"160"$"197"$"Jesús Julián Lucendo Heredia"$"56"$"8414"$"0"
"161"$"201"$"Jesús Julián Lucendo Heredia"$"86p"$"8414"$"0"
"162"$"206"$"Juli Sánchez Soto"$"72"$"8421"$"0"
"163"$"211"$"Justo Ruiz González"$"9"$"8416"$"0"
"164"$"214"$"Oscar Sonejee Masand"$"2"$"8415"$"0"
"165"$"216"$"Jesús Julián Lucendo Hcrcdia"$"57p"$"8414"$"0"
"166"$"216"$"Juli Sánchez Soto"$"62"$"8421"$"0"
"167"$"218"$"Eniiliano González Arquez"$"45"$"8419"$"0"
"168"$"218"$"Ildefons Lima Sola"$"51"$"8426"$"0"
"169"$"219"$"Justo Ruiz González"$"90p"$"8416"$"0"
"170"$"224"$"Ildefons Linia Sola"$"33"$"8426"$"0"
"171"$"225"$"Roberto Jonás Alonso"$"42"$"8409"$"0"
"172"$"227"$"Ildefons Lima Sula"$"77"$"8426"$"0"
"173"$"228"$"Emiliano González Arquez"$"34"$"8419"$"0"
"174"$"228"$"Manolo Jiménez Soria"$"58"$"8420"$"0"
"175"$"231"$"Antonio Linia Sola"$"80"$"8407"$"0"
"176"$"239"$"Florijan Matekalo"$"46"$"78992"$"0"
"177"$"239"$"Zvonimir Cimermančić"$"70"$"78820"$"0"
"178"$"239"$"Zvonimir Cimermančić"$"82"$"78820"$"0"
"179"$"239"$"August Lešnik"$"84"$"78959"$"0"
"180"$"240"$"Zvonko Jazbec"$"21"$"78907"$"0"
"181"$"242"$"Svetozar Danić"$"10"$"78855"$"0"
"182"$"243"$"Franjo Wölfl"$"16"$"79148"$"0"
"183"$"244"$"Slavko Beds"$"82"$"99255"$"0"
"184"$"245"$"Slavko Pavletić"$"5"$"99292"$"0"
"185"$"245"$"Fraııjo Wölfl"$"28"$"79148"$"0"
"186"$"245"$"Slavko Pavletić"$"34"$"99292"$"0"
"187"$"245"$"Branko Pleše"$"46"$"79055"$"0"
"188"$"245"$"Franjo WOlfl"$"55"$"79148"$"0"
"189"$"248"$"Ratko Kacian"$"20"$"99273"$"0"
"190"$"248"$"Franjo Wölfl"$"26"$"79148"$"0"
"191"$"248"$"Zvonimir Cimermančić"$"38"$"78820"$"0"
"192"$"248"$"Franjo Wölfl"$"48"$"79148"$"0"
"193"$"248"$"Branko Pleše"$"71"$"79055"$"0"
"194"$"248"$"Milan Antolković"$"86"$"78773"$"0"
"195"$"249"$"Zvonimir Cimermančić"$"7"$"78820"$"0"
"196"$"249"$"Zvonimir Cimermančić"$"30"$"78820"$"0"
"197"$"251"$"Franjo Wölfl"$"32"$"79148"$"0"
"198"$"251"$"August Lešnik"$"63"$"78959"$"0"
"199"$"251"$"August Lešnik"$"76"$"78959"$"0"
"200"$"251"$"Milan Antolković"$"83"$"78773"$"0"
"201"$"251"$"Zvonimir Cimermančić"$"88"$"78820"$"0"
"202"$"251"$"August Lešnik"$"90"$"78959"$"0"
"203"$"252"$"Zvonimir Cimermančić"$"9"$"78820"$"0"
"204"$"252"$"Franjo Wölfl"$"18"$"79148"$"0"
"205"$"253"$"Franjo Wölfl"$"75"$"79148"$"0"
"206"$"255"$"Milan Antolković"$"65"$"78773"$"0"
"207"$"256"$"Mirko Kokotović"$"2"$"78932"$"0"
"208"$"256"$"Franjo Wölfl"$"82"$"79148"$"0"
"209"$"256"$"Mirko Kokotović"$"86"$"78932"$"0"
"210"$"257"$"Franjo Wolf!"$"8"$"79148"$"0"
"211"$"257"$"Franjo Wolf!"$"19"$"79148"$"0"
"212"$"257"$"Drago Lokošek"$"27"$"99288"$"0"
"213"$"257"$"Zvonimir Címermančíć"$"31"$"78820"$"0"
"214"$"257"$"August Lešnik"$"37"$"78959"$"0"
"215"$"257"$"August Lešnik"$"70"$"78959"$"0"
"216"$"257"$"Franjo Wö18"$"76"$"79148"$"0"
"217"$"258"$"Ž.Matuš"$"9"$"18627"$"0"
"218"$"258"$"S.Krstulović"$"13"$"99286"$"0"
"219"$"258"$"S.Rebac"$"17"$"99298"$"0"
