1670,10.10.1998,ГIALTA,CROATIA	
1672,18.11.1998,MALTA,MACEDONiA	
1673,27.01.1999,MALTA,BOSZNIA-HERCEGOVINA	
1714,16.10.2002,і"LALTA,FRANCE	
1716,12.02.2003,MALTA,КАZАКНSTAN	
1723,14.02.2004,MALTA,MOLIOVA	
1749,26.04.1995,NIOLDOVA,BULGARIA	(
1750,07.06.1995,IOLDOVA,ALBANIA	
1754,09.04.1996,NIOLDOVA,UKRAINE	
1756,14.08.1996,TtJRKEY,MOLDOVA	
1757,01.09.1996,MOLDOVA,ENGI,AŇD	
1758,05.10.1996,NIOLDOVA,ITALY	
1759,30.10.1996,MOLDOVA,INDONEZIA	
1760,10.11.1996,POLAND,MOLi)OTA	
1766,07.10.1997,IOLDOVA,POLAND	
1769,16.08.1998,IOLDOVA,LITI[UANIA	
1770,20.08.1998,NIOLDOVA,ESTONIA	
1785,26.04.2000,SAN MARINO,NIOLDOVA	
1799,05.09.2001,SLOVAKIA,HOLDONA	
1800,06.10.2001,NIOLDOVA,TURKEY	
1801,09.02.2002,LIТНUANIA,MOLDOVA	
1810,05.03.2003,ISRАEL,NIOLDOVA	
1812,02.04.2003,MOLDOVA,IIOLLAND	
1816,10.09.2003,МOLDOVA,BELARUS	
1894,12.09.1937,POLAND,DL+ NГ
1901,05.06.1938,BRAZIL,POLANI)	
1903,25.09.1938,LATIA,POLAND	
2099,17.04.1974,BELGIOM,POLAND	
2114,26.03.1975,POLAND,UNITH) STATES	
2153,06.06.1978,POLAND,TUNiSIA	
2247,11.12.1985,TURKEM,POLAND	
2343,22.09.1993,NORWVAY,POLAND	
2344,13.10.1993,POLAND,NORWVAY	
2345,27.10.1993,TURREY,POLAND	
2363,06.09.1995,POLAND,RONIANIA	
2371,27.08.1996,POLAND,ĆYPRUS	
2377,17.02.1997,POLAND,LATITIA	
2396,06.09.1998,BULGARiA,POLAND	
2478,24.01.1926,PORTUGAL,CZEĆHOSLOVAКIλ Amateur	
2514,12.02.1939,PORTUGAL,SWiTZERLAND	
2565,26.05.1957,PORTUGAL,‚TALI	
2576,11.11.1959,FRANĆE,PORTUGAL	
2616,28.07.1966,PORTUGAL,SOViET UNiON	
2619,01.06.1967,SWVEDEN,PORTUGAL	
2639,21.11.1971,PORTUGAL,BELGIUNI	
2656,13.11.1974,SWITZERLANI),PORTUGAL	
2658,09.03.1975,GOIÁS XI,PORTUGAL	
2663,12.11.1975,PORTUGAL,ĆZECHOSLOVAКIA	
2802,15.08.1995,LIECHTENSTEiN,PORTUGAL	
2861,15.08.2001,PORTUGAL,ItiiOLDOVA	
2904,17.11.2004,LUXENIBOURG,PORTUGAL	
3845,10.05.1959,ĆZECHOSLOVAKIλ,REPUBLIC OF IRELAND	
3900,10.10.1971,AUSTRiА,REPUBLIC OF IRELAND	
3927,09.02.1977,REPUBLIC OF IRELAND,ŚPAIN	
3992,27.05.1986,REPUBLIC OF IRELAND,CZEĆHOSLOVAКIA	
4181,26.10.1923,TURKEY,RONIANIA	
4193,06.05.1928,YUGOSLAVIA,RONIÂNIA	
4195,0.05.1929,RONIÂNIA,YUGOSLAVIA	
4216,16.10.1932,AUSTRiА Amateur,ROMANIA	
4256,11.06.1939,RONIANIA,ITALY	
4260,19.05.1940,HUNGARY,RONIÂNIA	
4271,1.10.1946,YUGOSLAVIA,RONIÂNiA	
4296,15.07.1952,HUNGARY,RON
4303,19.09.1954,HUNGARY,RONIÂNiA	
4306,15.06.1955,SWEDEN,RONIÂNIA	
4309,09.10.1955,RONIANIA,BULGARIA	
4310,22.04.1956,YUGOSLAvIA,RONIANiA	
4315,01.06.1957,SOVIET UNION,RONIANIA	
4316,16.06.1957,GREECE,ROЛ
4317,29.09.1957,ROMÂNiA,YUGOSLAViA	
4318,03.11.1957,RONIÂNIA,GREECE	
4322,02.11.1958,RONIÂNIA,TURKEY	
4331,14.05.1961,TURKEY,RONANIA	
4355,22.10.1964,ROIbIÂNIA,YUGOSLAVIA	
4356,02.05.1965,ROМÂNIA,TURKEY	
4357,30.05.1965,RONIÂNIA,CZECHOSLOVAKIA	
4360,23.10.1965,TURKEY,RONIÂNiA	
4381,24.12.1967,ZAIRE,ROMÂNIA	
4385,06.11.1968,ROíNIANIA,ENGLAND	
4399,06.06.1970,CZECHOSLOVAKIA,RONIÂNIA	
4417,17.05:1972,HUNGARY,ROlb
4418,21.05.1972,RONIÂNIA,DENMARK	
4419,17.06.1972,RONIÂNIA,ITALY	
4421,20.09.1972,FINLAND,RONÂNIA	
4422,29.10.1972,RONÂNIA,ALBANIA	
4430,22.04.1974,ARGENTINA,RONIÂNIA	
4436,04.12.1974,iSRАEL,ROMÂNiA	
4445,12.10.1975,RONIANIA,TURKEY	
4462,08.05.1977,YUGOSLAVIA,ROМ NSA	
4469,05.04.1978,ARGENTINA,RONIÂNIA	
4474,25.10.1978,RONIANIA,YUGOSLAVIA	
4488,30.03.1980,YUGOSLAVIА,ROMÂNIA	
4533,22.01.1984,ECUADOR,RОN
4551,28.08.1985,ROMÂNIA,FiNLAND	
4557,14.03.1986,IRAQ,RONIANIA	
4575,03.02.1988,ISRAEL,RONILNiА	
4599,14.06.1990,CANIEROON,RONIÂNIA	
4627,06.02.1993,UNITED STATES,RONIANIA	
4629,14.04.1993,ROMÂNIA,CYPRUŚ	
4635,13.02.1994,UNITED STATES,RONIÂNIA	
4640,01.06.1994,RQMÂNIA,SLOVENIA	
4642,18.06.1994,ĆOLOMBIA,ROMÂNIA	
4649,12.10.1994,ENGLAND,RONIÂNiA	
4655,26.04.1995,AZERBAIJAN,ROЛIÂNIA	
4664,13.06.1996,BULGARIA,RONI&NiA	
4667,31.08.1996,RONIÂNIA,LITHUANIA	
4698,05.06.1999,RONIÂNIA,HUNGARY	
4708,26.04.2000,ROMANIA,ĆYPRUS	
4731,10.11.2001,SLOVENIA,ROМÂNIA	
4739,16.10.2002,LUXEMBOURG,RONIÂNiA	
4746,20.08.2003,UKRAINE,RоNI NIA	
4777,10.03.1993,SAN MARINO,ТtтRКEY	
4781,22.09.1993,SAN NIARINO,HOLLAND	
4782,17.11.1993,SAN NIARINO,ENGLAND	
4790,11.10.1995,SAN N/TARINO,FAROE ISLANDS	
4798,07.06.1997,BELGIUM,SAN NIARINO	
4803,10.02.1999,CYPRUS,SAN NIARINO	
4815,06.06.2001,SAN NIARINO,BELGIUM	
4828,04.09.2004,SAN MARINO,SERB
4881,26.04.2000,ARM[:NIA,GEORGIA	
4886,24.03.2001,ARMENIA,WА LES	
4888,02.06.2001,ARMENIA,BELARUŚ	
4915,12.09.1926,,
4922,02.10.1931,TURKEY,YUGOŚLAVIλ	
4931,02.08.1948,TURKEY,CHINλ P.R.	
4948,25.05.1953,SWIТZERLAND,TURKEY	
4958,18.12.1955,TURKEY,PORTUQAL	
4978,01.06.1961,NORWAY,TI.IRKEY	
4986,10.10.1962,TURKEY,ECHIOFiA	
4988,02.12.1962,ITAALY,TURKEL	
4989,12.12.1962,TURKEY,DENIIARK	
4999,19.04.1965,TURKEM,PORTUGAL	
5004,09.10.1965,TURКЕУ,CZECNOSLOVAKIA	
5006,21.11.1965,CZEĆHOSLOVAКIA,TURKEY	
5042,13.01.1973,iTALY,TtiRKEY	
5052,13.11.1974,TURKEY,AUSTRIλ	
5096,09.09.1981,iCELAND,TURKEY	
5099,22.09.1982,HUNGARP,TURKEY	,
5105,30.03.1983,IRELAŃD,TURKEY	
5110,16.11.1983,TURКEY,AUSTRIA	
5113,03.03.1984,TURKEY,iTALY	
5114,11.03.1984,LUXEMВOURG,TURКEY	
5121,28.03.1985,AI.BANIA,TURKEY	
5140,12.10.1988,TURKEY,iCELAND	
5143,29.03.1989,GREEĆE,TURKEY	
5149,11.04.1990,DENNIARK,TURKEY	
5169,23.09.1992,POLАND,TURKEY	
5179,23.02.1994,TURKEY,CZEĆH REPUBLIC	
5183,12.10.1994,TURKEY,iCELAND	
5187,29.03.1995,TURKEM,SWEDEN	
5190,07.06.1995,CANADA,TURKEM	
5192,18.06.1995,PARAGUAY,TURKE	
5195,30.08.1995,TURKEY,MAĆEDONIA	
5199,15.11.1995,SWEDEN,TURKEI`	
5202,09.04.1996,AZERBAiJAN,TURKEY	
5206,11.06.1996,CROATIA,TLiRKEY	
5216,30.04.1997,TURKEY,BELGIUМ	
5217,12.06.1997,CROATiλ,TURKEY	
5221,11.10.1997,HOLLAND,TI.RKEY	
5226,10.10.1998,TURKEY,GERNIANY	
5240,16.08.2000,ВOSNIA-HERZEGOViNA,TURKEY	
5243,11.10.2000,AZERBAIJAN,TIIRICEY	
5246,24.03.2001,TURKEY,SLOYAКIA	
5249,02.06.2001,TURKEY,AZERBAiJAŃ	
5252,01.09.2001,SLOVAКIA,TURKEY	
5254,06.10.2001,MOLDOVA,TURКЕУ	
5259,17.04.2002,TURKE,CHILE	
5263,13.06.2002,TURKEM,Ci ł
5266,26.06.2002,BRAZIL,TURKEY	
5269,07.09.2002,TURKEY,SLOVAКIA	
5271,16.10.2002,TURKEY,LIEĆHTENSTEIN	
5272,20.11.2002,ITALY,"[URKEV	
5277,,TURKEY,MACEDONIA	
5279,,CAMEROON,TURKEY	
5285,,REPUBLIC OF IRELAND,TURKEY	
5286,11.10.2003,,
5290,,,
5293,21.05.2004,AUSTRALIA,TURКЕУ	
5328,31.08.1996,AZERBAIJAŃ,SWITZERLAND	
5367,07.10.2000,MAĆEDONIA,AZERBAIJAN	
5386,07.09.2002,AZERBAIJAN,ITALIA	
5388,20.11.2002,AZERBAIJAN,V
5393,11.10.2003,ITALIA,AZERBAIJAN	
5395,27.01.1993,ECUADOR,BELARIJs	
5433,27.03.1999,BELARUS,SWITZERLANО	
5441,29.03.2000,BULGÁRIA,BELARUS	
5459,07.09.2002,IIOLLAND,BELARUS	
5464,30.04.2003,UZBEKISTAN,BELARUŚ	
5465,07.06.2003,BELARUŚ,HOLLAND	
5484,26.10.1908,BELGIUM,ŚWEDEN	
5501,10.03.1912,BELGIUM,HOLLANЛ	
5521,02.09.1920,BELGIUM,C:SEHSZLOVÀKIλ	
5587,28.09.1930,BELGIUM,SWFDEN	
5595,20.03.1932,BELGIUM,HOLLAŃD	
5602,12.03.1933,SWITZEIILAND,BELGIUM	
5604,09.04.1933,BELGIUM,IIOLLANII	
5621,16.02.1936,BELGIUM,POLANЛ	
5626,24.05.1936,SWITZERLÁND,BELGIUM	
5654,23.01.1946,SCOTLAN),BELGIUM	
5677,05.03.1950,ITALY,BE+LGIUM	
5728,31.03.1957,BELGIUM,SPAIŃ	
5733,27.10.1951,BELGIUГ"I,FRANCE	
5738,26.05.1958,ŠWITZERLAND,BELGIUM	
5748,27.03.1960,BELGIUM,ŚWITZERLAND	
5750,24.04.1960,BELGIUЛΡI,HOLLAND	
5775,01.12.1963,SPAIN,IELGIUM	
5842,01.06.1974,BELGIUM,SCOTLAŃD	
5855,26.03.1977,BELGIUM,IIOLI,ANI)	
5875,06.06.1980,BELGIŮM,ROMANIA	
5893,19.06.1982,BELGIUM,EL ŚALVADOR	
5925,08.06.1986,BELGIUM,IRAK	
5931,10.09.1986,BELGIUM,IRELANЛ	
5968,27.02.1991,BELGIUїI,LUXEMBOURG	
5984,06.10.1993,BELGIUM,GABUN	
6035,30.03.1999,BELGIUM,EGYIPT	
6080,29.03.2003,CROATIA,BELGIA	
6086,11.10.2003,BELGIUM,ESTONIλ	
6704,30.11.1995,ALBANIA,ВОıNIA-HERZEGOVINA	
6705,24.04.1996,BUSNIA-HERZEGOVINA,ALBANIA	
6707,08.10.1996,BOŚNIA-HERZEGOVINA,CROATIA	
6709,11.11.1996,SLOVENIA,ВOSN
6722,14.05.1998,ARGENTINA,BOSŇIA-HERZEGOVINA	
6732,04.09.1999,BOSNIA-НERZEGOVINA,SCGTLAND	
6734,05.10.1999,SCOТLAND,BOSNIA-HERZEGOVINA	
6738,25.04.2000,BOSNIA-HERZEGOVINA,WORLD „XI"	
6739,16.08.2000,BOSNIA-řERZEGOVINA,TURKEY	
6740,02.09.2000,BОS`NIA-HERZEGOVINA,SPAIN	
6741,11.10.2000,ISRAEL,BOŚNIA-HERZEGOVINA	
